Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution,Slug,Test_Cases,Has_Solutions,Languages
1, Two Sum,"['Array', 'Hash Table']",54.10%,False,Easy,https://leetcode.com/problems/two-sum/description,https://leetcode.com/problems/two-sum/solutions,two-sum,"[{""input"": ""nums = [2,7,11,15]\ntarget = 9"", ""expectedOutput"": ""[0,1]""}, {""input"": ""nums = [3,2,4]\ntarget = 6"", ""expectedOutput"": ""[1,2]""}, {""input"": ""nums = [3,3]\ntarget = 6"", ""expectedOutput"": ""[0,1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
2, Add Two Numbers,"['Linked List', 'Math', 'Recursion']",44.50%,False,Medium,https://leetcode.com/problems/add-two-numbers/description,https://leetcode.com/problems/add-two-numbers/solutions,add-two-numbers,"[{""input"": ""l1 = [2,4,3], l2 = [5,6,4]"", ""expectedOutput"": ""[7,0,8]""}, {""input"": ""l1 = [0], l2 = [0]"", ""expectedOutput"": ""[0]""}, {""input"": ""l1 = [9,9,9,9,9,9,9], l2 = [9,9,9,9]"", ""expectedOutput"": ""[8,9,9,9,0,0,0,1]""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
3, Longest Substring Without Repeating Characters,"['Hash Table', 'String', 'Sliding Window']",35.70%,False,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/description,https://leetcode.com/problems/longest-substring-without-repeating-characters/solutions,longest-substring-without-repeating-characters,"[{""input"": ""s = \""abcabcbb\"""", ""expectedOutput"": ""3""}, {""input"": ""s = \""bbbbb\"""", ""expectedOutput"": ""1""}, {""input"": ""s = \""pwwkew\"""", ""expectedOutput"": ""3""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
4, Median of Two Sorted Arrays,"['Array', 'Binary Search', '1+']",41.80%,False,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/description,https://leetcode.com/problems/median-of-two-sorted-arrays/solutions,median-of-two-sorted-arrays,"[{""input"": ""nums1 = [1,3]\nnums2 = [2]"", ""expectedOutput"": ""2.00000""}, {""input"": ""nums1 = [1,2]\nnums2 = [3,4]"", ""expectedOutput"": ""2.50000""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
5, Longest Palindromic Substring,"['Two Pointers', 'String', '1+']",34.70%,False,Medium,https://leetcode.com/problems/longest-palindromic-substring/description,https://leetcode.com/problems/longest-palindromic-substring/solutions,longest-palindromic-substring,"[{""input"": ""s = \""babad\"""", ""expectedOutput"": ""\""bab\""""}, {""input"": ""s = \""cbbd\"""", ""expectedOutput"": ""\""bb\""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
6, Zigzag Conversion,['String'],49.70%,False,Medium,https://leetcode.com/problems/zigzag-conversion/description,https://leetcode.com/problems/zigzag-conversion/solutions,zigzag-conversion,"[{""input"": ""s =  \""PAYPALISHIRING \"", numRows = 3"", ""expectedOutput"": ""\""PAHNAPLSIIGYIR \""""}, {""input"": ""s =  \""PAYPALISHIRING \"", numRows = 4"", ""expectedOutput"": ""\""PINALSIGYAHRPI \""""}, {""input"": ""s =  \""A \"", numRows = 1"", ""expectedOutput"": ""\""A \""""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
7, Reverse Integer,['Math'],29.30%,False,Medium,https://leetcode.com/problems/reverse-integer/description,https://leetcode.com/problems/reverse-integer/solutions,reverse-integer,"[{""input"": ""x = 123"", ""expectedOutput"": ""321""}, {""input"": ""x = -123"", ""expectedOutput"": ""-321""}, {""input"": ""x = 120"", ""expectedOutput"": ""21""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
8, String to Integer (atoi),['String'],18.10%,False,Medium,https://leetcode.com/problems/string-to-integer-(atoi)/description,https://leetcode.com/problems/string-to-integer-(atoi)/solutions,string-to-integer-atoi,"[{""input"": ""s =  \""42 \"""", ""expectedOutput"": ""42""}, {""input"": ""s =  \""   -42 \"""", ""expectedOutput"": ""-42""}, {""input"": ""s =  \""4193 with words \"""", ""expectedOutput"": ""4193""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
9, Palindrome Number,['Math'],57.80%,False,Easy,https://leetcode.com/problems/palindrome-number/description,https://leetcode.com/problems/palindrome-number/solutions,palindrome-number,"[{""input"": ""x = 121"", ""expectedOutput"": ""true""}, {""input"": ""x = -121"", ""expectedOutput"": ""false""}, {""input"": ""x = 10"", ""expectedOutput"": ""false""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
10, Regular Expression Matching,"['String', 'Dynamic Programming', 'Recursion']",28.50%,False,Hard,https://leetcode.com/problems/regular-expression-matching/description,https://leetcode.com/problems/regular-expression-matching/solutions,regular-expression-matching,"[{""input"": ""s =  \""aa \"", p =  \""a \"""", ""expectedOutput"": ""false""}, {""input"": ""s =  \""aa \"", p =  \""a\\* \"""", ""expectedOutput"": ""true""}, {""input"": ""s =  \""ab \"", p =  \"".\\* \"""", ""expectedOutput"": ""true""}]",Yes,"cpp,java,python,javascript,go,rust,typescript,c"
